Program.Unique.ID,Univesity.Name,Program.Name,University.type,Area,Grade,Program.type,State,Program.score
"65,1",INSTITUTO MILITAR DE ENGENHARIA,SISTEMAS E COMPUTAÇÃO,PÚBLICA,CIÊNCIA DA COMPUTAÇÃO,MESTRADO,ACADÊMICO,RJ,3
"65,2",INSTITUTO MILITAR DE ENGENHARIA,ENGENHARIA NUCLEAR,PÚBLICA,ENGENHARIAS II,MESTRADO,ACADÊMICO,RJ,3
"65,3",INSTITUTO MILITAR DE ENGENHARIA,ENGENHARIA DE DEFESA,PÚBLICA,INTERDISCIPLINAR,MESTRADO/DOUTORADO,ACADÊMICO,RJ,4
"66,1","INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ",ANÁLISE E PLANEJAMENTO ESPACIAL,PÚBLICA,GEOGRAFIA,MESTRADO PROFISSIONAL,PROFISSIONAL,PI,A
"67,1","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",TECNOLOGIA E GESTÃO AMBIENTAL,PÚBLICA,ENGENHARIAS I,MESTRADO,ACADÊMICO,CE,3
"68,1","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",ENGENHARIA DE SISTEMAS E PRODUTOS,PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,BA,3
"69,1",INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE,USO SUSTENTÁVEL DE RECURSOS NATURAIS,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,RN,3
"69,2",INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE,EDUCAÇÃO PROFISSIONAL,PÚBLICA,EDUCAÇÃO,MESTRADO/DOUTORADO,ACADÊMICO,RN,4
"70,1",INSTITUTO FEDERAL ALAGOAS,TECNOLOGIAS AMBIENTAIS,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,AL,3
"71,1","INSTITUTO FED. DE EDUC., CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",GESTÃO AMBIENTAL,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,3
"72,1","INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO",PRODUÇÃO VEGETAL,PÚBLICA,CIÊNCIAS AGRÁRIAS I,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"72,2","INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO",CIÊNCIA E TECNOLOGIA DE ALIMENTOS,PÚBLICA,CIÊNCIA DE ALIMENTOS,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"73,1",INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA,SAÚDE INTEGRAL,PRIVADA,MEDICINA II,MESTRADO/DOUTORADO,ACADÊMICO,PE,5
"73,2",INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA,CUIDADOS INTENSIVOS,PRIVADA,MEDICINA I,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,3
"73,3",INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA,AVALIAÇÃO EM SAÚDE,PRIVADA,SAÚDE COLETIVA,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,4
"74,1",FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,EDUCAÇÃO,PÚBLICA,EDUCAÇÃO,MESTRADO PROFISSIONAL,PROFISSIONAL,TO,3
"74,2",FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,EDUCAÇAO,PÚBLICA,EDUCAÇÃO,MESTRADO,ACADÊMICO,TO,3
"75,1",FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,ENFERMAGEM,PÚBLICA,ENFERMAGEM,MESTRADO/DOUTORADO,ACADÊMICO,PI,4
"76,1",FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI,LETRAS,PÚBLICA,LINGUÍSTICA E LITERATURA,MESTRADO,ACADÊMICO,PI,4
"77,1",FUNDACAO OSWALDO CRUZ (FIOCRUZ),VIGILÂNCIA E CONTROLE DE VETORES,PÚBLICA,SAÚDE COLETIVA,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,3
"77,2",FUNDACAO OSWALDO CRUZ (FIOCRUZ),TECNOLOGIA DE IMUNOBIOLÓGICOS,PÚBLICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,4
"77,3",FUNDACAO OSWALDO CRUZ (FIOCRUZ),SAÚDE PÚBLICA E MEIO AMBIENTE,PÚBLICA,SAÚDE COLETIVA,MESTRADO/DOUTORADO,ACADÊMICO,RJ,5
"77,4",FUNDACAO OSWALDO CRUZ (FIOCRUZ),SAÚDE PÚBLICA,PÚBLICA,SAÚDE COLETIVA,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,5
"77,5",FUNDACAO OSWALDO CRUZ (FIOCRUZ),PESQUISA APLICADA À SAÚDE DA CRIANÇA E DA MULHER,PÚBLICA,MEDICINA II,MESTRADO/DOUTORADO,ACADÊMICO,RJ,4
"77,6",FUNDACAO OSWALDO CRUZ (FIOCRUZ),MEDICINA TROPICAL,PÚBLICA,MEDICINA II,MESTRADO/DOUTORADO,ACADÊMICO,RJ,6
"77,7",FUNDACAO OSWALDO CRUZ (FIOCRUZ),HISTÓRIA DAS CIÊNCIAS,PÚBLICA,HISTÓRIA,MESTRADO/DOUTORADO,ACADÊMICO,RJ,5
"77,8",FUNDACAO OSWALDO CRUZ (FIOCRUZ),ENSINO EM BIOCIÊNCIAS E SAÚDE,PÚBLICA,ENSINO,MESTRADO/DOUTORADO,ACADÊMICO,RJ,6
"77,9",FUNDACAO OSWALDO CRUZ (FIOCRUZ),"DIVULGAÇÃO DA CIÊNCIA, TECNOLOGIA E SAÚDE",PÚBLICA,INTERDISCIPLINAR,MESTRADO,ACADÊMICO,RJ,3
"77,1",FUNDACAO OSWALDO CRUZ (FIOCRUZ),BIOLOGIA PARASITÁRIA,PÚBLICA,CIÊNCIAS BIOLÓGICAS III,MESTRADO/DOUTORADO,ACADÊMICO,RJ,7
"77,11",FUNDACAO OSWALDO CRUZ (FIOCRUZ),BIOLOGIA COMPUTACIONAL E SISTEMAS,PÚBLICA,INTERDISCIPLINAR,MESTRADO/DOUTORADO,ACADÊMICO,RJ,5
"77,12",FUNDACAO OSWALDO CRUZ (FIOCRUZ),BIOLOGIA CELULAR E MOLECULAR,PÚBLICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO/DOUTORADO,ACADÊMICO,RJ,7
"77,13",FUNDACAO OSWALDO CRUZ (FIOCRUZ),BIODIVERSIDADE E SAÚDE,PÚBLICA,BIODIVERSIDADE,MESTRADO/DOUTORADO,ACADÊMICO,RJ,5
"78,1",FIOCRUZ ( CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE ),CONDIÇÕES DE VIDA E SITUAÇÕES DE SAÚDE NA AMAZÔNIA,PÚBLICA,SAÚDE COLETIVA,MESTRADO,ACADÊMICO,AM,3
"79,1",FIOCRUZ ( CENTRO DE PESQUISA GONÇALO MONIZ ),BIOTECNOLOGIA EM SAÚDE E MEDICINA INVESTIGATIVA,PÚBLICA,MEDICINA II,MESTRADO/DOUTORADO,ACADÊMICO,BA,6
"80,1",FIOCRUZ ( CENTRO DE PESQUISA AGGEU MAGALHÃES ),SAÚDE PÚBLICA,PÚBLICA,SAÚDE COLETIVA,MESTRADO/DOUTORADO,ACADÊMICO,PE,4
"81,1",FACULDADE SANTA CASA DE BELO HORIZONTE,MEDICINA - BIOMEDICINA,PRIVADA,MEDICINA I,MESTRADO/DOUTORADO,ACADÊMICO,MG,4
"82,1",FACULDADE DINÂMICA DO VALE DO PIRANGA,ENSINO DE CIÊNCIAS DA SAÚDE E DO AMBIENTE,PRIVADA,ENSINO,MESTRADO PROFISSIONAL,PROFISSIONAL,MG,3
"83,1",FACULDADE DE DIREITO MILTON CAMPOS,DIREITO NAS RELAÇÕES ECONÔMICAS E SOCIAIS,PRIVADA,DIREITO,MESTRADO,ACADÊMICO,MG,3
"84,1",FACULDADE CERS,"DIREITO, MERCADO, COMPLIANCE E SEGURANÇA HUMANA",PRIVADA,DIREITO,MESTRADO PROFISSIONAL,PROFISSIONAL,PE,A
"85,1",ESCOLA SUPERIOR DOM HELDER CÂMARA,DIREITO AMBIENTAL E DESENVOLVIMENTO SUSTENTÁVEL,PRIVADA,DIREITO,MESTRADO/DOUTORADO,ACADÊMICO,MG,4
"86,1",ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,PSICOLOGIA E INTERVENÇÕES EM SAÚDE,PRIVADA,PSICOLOGIA,MESTRADO PROFISSIONAL,PROFISSIONAL,BA,A
"86,2",ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,MEDICINA E SAÚDE HUMANA,PRIVADA,MEDICINA I,MESTRADO/DOUTORADO,ACADÊMICO,BA,3
"87,1",CENTRO UNIVERSITÁRIO SENAI CIMATEC,MODELAGEM COMPUTACIONAL E TECNOLOGIA INDUSTRIAL,PRIVADA,INTERDISCIPLINAR,MESTRADO/DOUTORADO,ACADÊMICO,BA,5
"87,2",CENTRO UNIVERSITÁRIO SENAI CIMATEC,GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC,PRIVADA,INTERDISCIPLINAR,DOUTORADO,ACADÊMICO,BA,4
"88,1",CENTRO UNIVERSITÁRIO MARIA MILZA,BIOTECNOLOGIA,PRIVADA,BIOTECNOLOGIA,MESTRADO PROFISSIONAL,PROFISSIONAL,BA,A
"89,1",CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE,CIÊNCIA E TECNOLOGIA AMBIENTAL,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,3
"90,1",CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,MATERIAIS,PÚBLICA,MATERIAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,4
"90,2",CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,ENSINO EM CIÊNCIAS DA SAÚDE E DO MEIO AMBIENTE,PÚBLICA,ENSINO,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,5
"91,1",CENTRO UNIVERSITÁRIO CHRISTUS,CIÊNCIAS ODONTOLÓGICAS,PRIVADA,ODONTOLOGIA,MESTRADO,ACADÊMICO,CE,3
"92,1",CENTRO UNIVERSITÁRIO CARIOCA,NOVAS TECNOLOGIAS DIGITAIS NA EDUCAÇÃO,PRIVADA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,RJ,3
"93,1",CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,EDUCAÇÃO TECNOLÓGICA,PÚBLICA,EDUCAÇÃO,MESTRADO,ACADÊMICO,MG,3
"94,1",CENTRO DE DESENVOLVIMENTO DA TECNOLOGIA NUCLEAR,"CIÊNCIA E TECNOLOGIA DAS RADIAÇÕES, MINERAIS E MATERIAIS",PÚBLICA,ENGENHARIAS II,MESTRADO/DOUTORADO,ACADÊMICO,MG,4
"95,1",CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE (PE),DESIGN,PRIVADA,"ARQUITETURA, URBANISMO E DESIGN",MESTRADO PROFISSIONAL,PROFISSIONAL,PE,3
"96,1",CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,DIREITO,PRIVADA,DIREITO,MESTRADO,ACADÊMICO,PB,3
"97,1",UNIVERSIDADE FEDERAL DA PARAÍBA ( AREIA ),ZOOTECNIA,PÚBLICA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO,ACADÊMICO,PB,4
"98,1",UNIVERSIDADE POTIGUAR,ADMINISTRAÇÃO,PRIVADA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,ACADÊMICO,RN,4
"99,1",UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,"ARTES, PATRIMÔNIO E MUSEOLOGIA",PÚBLICA,COMUNICAÇÃO E INFORMAÇÃO,MESTRADO PROFISSIONAL,PROFISSIONAL,PI,3
"100,1",CENTRO UNIVERSITÁRIO 7 DE SETEMBRO,DIREITO,PRIVADA,DIREITO,MESTRADO,ACADÊMICO,CE,3
"101,1",UNIVERSIDADE REGIONAL DO CARIRI,QUÍMICA BIOLÓGICA,PÚBLICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO/DOUTORADO,ACADÊMICO,CE,4
"102,1",UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,FILOSOFIA,PÚBLICA,FILOSOFIA,MESTRADO,ACADÊMICO,CE,A
"103,1",UNIVERSIDADE ESTADUAL DA REGIAO TOCANTINA DO MARANHAO,LETRAS,PÚBLICA,LINGUÍSTICA E LITERATURA,MESTRADO PROFISSIONAL,PROFISSIONAL,MA,A
"104,1",FUCAPE PESQUISA E ENSINO S.A (MA),CONTABILIDADE E ADMINISTRAÇÃO,PRIVADA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO,ACADÊMICO,MA,3
"105,1",INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO MARANHÃO - MONTE CASTELO,QUÍMICA,PÚBLICA,QUÍMICA,MESTRADO,ACADÊMICO,MA,3
"106,1",FACULDADE INTEGRAL DIFERENCIAL,BIOTECNOLOGIA E ATENÇÃO BÁSICA DE SAÚDE,PRIVADA,BIOTECNOLOGIA,MESTRADO PROFISSIONAL,PROFISSIONAL,PI,3
"107,1",UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,DEMANDAS POPULARES E DINÂMICAS REGIONAIS,PÚBLICA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO,ACADÊMICO,TO,3
"108,1",MUSEU PARAENSE EMÍLIO GOELDI,DIVERSIDADE SOCIOCULTURAL,PÚBLICA,ANTROPOLOGIA / ARQUEOLOGIA,MESTRADO,ACADÊMICO,PA,A
"109,1","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",ENGENHARIA DE MATERIAIS,PÚBLICA,ENGENHARIAS II,MESTRADO PROFISSIONAL,PROFISSIONAL,PA,3
"110,1",INSTITUTO EVANDRO CHAGAS,EPIDEMIOLOGIA E VIGILÂNCIA EM SAÚDE,PÚBLICA,SAÚDE COLETIVA,MESTRADO,ACADÊMICO,PA,3
"111,1",UNIVERSIDADE DA AMAZÔNIA,DESENVOLVIMENTO E MEIO AMBIENTE URBANO,PRIVADA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO/DOUTORADO,ACADÊMICO,PA,4
"112,1",UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,BIOTECNOLOGIA APLICADA À AGROPECUÁRIA,PÚBLICA,BIOTECNOLOGIA,MESTRADO,ACADÊMICO,PA,3
"112,2",UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,AGRONOMIA,PÚBLICA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,ACADÊMICO,PA,5
"113,1",UNIVERSIDADE FEDERAL DO AMAPÁ,DESENVOLVIMENTO REGIONAL,PÚBLICA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO,ACADÊMICO,AP,3
"114,1",CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE (AM),DESIGN DE ARTEFATOS DIGITAIS,PRIVADA,"ARQUITETURA, URBANISMO E DESIGN",MESTRADO PROFISSIONAL,PROFISSIONAL,AM,3
"115,1",INSTITUTO DE TECNOLOGIA E EDUCAÇÃO GALILEO DA AMAZÔNIA,"ENGENHARIA, GESTÃO DE PROCESSOS, SISTEMAS E AMBIENTAL",PRIVADA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,AM,A
"116,1",UNIVERSIDADE ESTADUAL DE RORAIMA,"SEGURANÇA PÚBLICA, DIREITOS HUMANOS E CIDADANIA",PÚBLICA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,RR,3
"117,1",FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,SAÚDE E BIODIVERSIDADE,PÚBLICA,INTERDISCIPLINAR,MESTRADO,ACADÊMICO,RR,A
"117,2",FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,EDUCAÇÃO,PÚBLICA,EDUCAÇÃO,MESTRADO,ACADÊMICO,RR,A
"118,1",UNIVERSIDADE DO ESTADO DO AMAZONAS,LETRAS E ARTES,PÚBLICA,LINGUÍSTICA E LITERATURA,MESTRADO PROFISSIONAL,PROFISSIONAL,AM,3
"118,2",UNIVERSIDADE DO ESTADO DO AMAZONAS,BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA,PÚBLICA,BIOTECNOLOGIA,MESTRADO,ACADÊMICO,AM,3
"119,1",UNIVERSIDADE NILTON LINS,AQUICULTURA,PRIVADA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO/DOUTORADO,ACADÊMICO,AM,3
"120,1","INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS",ENSINO TECNOLÓGICO,PÚBLICA,ENSINO,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,PROFISSIONAL,AM,4
"121,1",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ENGENHARIA ELÉTRICA,PÚBLICA,ENGENHARIAS IV,MESTRADO PROFISSIONAL,PROFISSIONAL,SC,3
"121,2",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,CIENCIA DO SOLO,PÚBLICA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"121,3",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,PLANEJAMENTO TERRITORIAL E DESENVOLVIMENTO SÓCIO-AMBIENTAL,PÚBLICA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO/DOUTORADO,ACADÊMICO,SC,4
"121,4",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,EDUCAÇÃO,PÚBLICA,EDUCAÇÃO,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"121,5",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ARTES CÊNICAS,PÚBLICA,ARTES,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"121,6",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ENFERMAGEM NA ATENÇÃO PRIMÁRIA À SAÚDE,PÚBLICA,ENFERMAGEM,MESTRADO PROFISSIONAL,PROFISSIONAL,SC,3
"121,7",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,CIÊNCIAS AMBIENTAIS,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO,ACADÊMICO,SC,3
"121,8",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ARTES VISUAIS,PÚBLICA,ARTES,MESTRADO/DOUTORADO,ACADÊMICO,SC,4
"121,9",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ENGENHARIA CIVIL,PÚBLICA,ENGENHARIAS I,MESTRADO,ACADÊMICO,SC,3
"121,1",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,DESIGN DE VESTUÁRIO E MODA,PÚBLICA,"ARQUITETURA, URBANISMO E DESIGN",MESTRADO PROFISSIONAL,PROFISSIONAL,SC,3
"121,11",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,FÍSICA,PÚBLICA,ASTRONOMIA / FÍSICA,MESTRADO,ACADÊMICO,SC,3
"121,12",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ADMINISTRAÇÃO,PÚBLICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,ACADÊMICO,SC,4
"121,13",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,HISTÓRIA,PÚBLICA,HISTÓRIA,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"121,14",UNIVERSIDADE DO ESTADO DE SANTA CATARINA,ZOOTECNIA,PÚBLICA,ZOOTECNIA / RECURSOS PESQUEIROS,MESTRADO,ACADÊMICO,SC,3
"122,1",UNIVERSIDADE FEDERAL DE SANTA CATARINA,EDUCAÇÃO FÍSICA,PÚBLICA,EDUCAÇÃO FÍSICA,MESTRADO/DOUTORADO,ACADÊMICO,SC,6
"122,2",UNIVERSIDADE FEDERAL DE SANTA CATARINA,ENGENHARIA CIVIL,PÚBLICA,ENGENHARIAS I,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"122,3",UNIVERSIDADE FEDERAL DE SANTA CATARINA,CONTABILIDADE,PÚBLICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"122,4",UNIVERSIDADE FEDERAL DE SANTA CATARINA,ADMINISTRAÇÃO,PÚBLICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO/DOUTORADO,ACADÊMICO,SC,4
"122,5",UNIVERSIDADE FEDERAL DE SANTA CATARINA,BIOQUÍMICA,PÚBLICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"122,6",UNIVERSIDADE FEDERAL DE SANTA CATARINA,ENGENHARIA ELÉTRICA,PÚBLICA,ENGENHARIAS IV,MESTRADO/DOUTORADO,ACADÊMICO,SC,6
"122,7",UNIVERSIDADE FEDERAL DE SANTA CATARINA,QUÍMICA,PÚBLICA,QUÍMICA,MESTRADO/DOUTORADO,ACADÊMICO,SC,7
"122,8",UNIVERSIDADE FEDERAL DE SANTA CATARINA,INGLÊS:ESTUDOS LINGÜÍSTICOS E LITERÁRIOS,PÚBLICA,LINGUÍSTICA E LITERATURA,MESTRADO/DOUTORADO,ACADÊMICO,SC,5
"122,9",UNIVERSIDADE FEDERAL DE SANTA CATARINA,ENGENHARIA E CIÊNCIAS MECÂNICAS,PÚBLICA,ENGENHARIAS III,MESTRADO,ACADÊMICO,SC,3
"122,1",UNIVERSIDADE FEDERAL DE SANTA CATARINA,INTERDISCIPLINAR EM CIÊNCIAS HUMANAS,PÚBLICA,INTERDISCIPLINAR,DOUTORADO,ACADÊMICO,SC,5
"123,1",CENTRO UNIVERSITÁRIO GUAIRACÁ,PROMOÇÃO DA SAÚDE,PRIVADA,INTERDISCIPLINAR,MESTRADO PROFISSIONAL,PROFISSIONAL,PR,A
"124,1",UNIVERSIDADE ESTADUAL DO PARANÁ - PARANAGUÁ - FAFIPAR,AMBIENTES LITORÂNEOS E INSULARES,PÚBLICA,CIÊNCIAS AMBIENTAIS,MESTRADO,ACADÊMICO,PR,A
"125,1",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,BIODIVERSIDADE NEOTROPICAL,PÚBLICA,BIODIVERSIDADE,MESTRADO,ACADÊMICO,PR,3
"125,2",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,LITERATURA COMPARADA,PÚBLICA,LINGUÍSTICA E LITERATURA,MESTRADO,ACADÊMICO,PR,3
"125,3",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,BIOCIÊNCIAS,PÚBLICA,CIÊNCIAS BIOLÓGICAS II,MESTRADO,ACADÊMICO,PR,4
"125,4",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,INTERDISCIPLINAR EM ESTUDOS LATINO-AMERICANOS,PÚBLICA,INTERDISCIPLINAR,MESTRADO,ACADÊMICO,PR,3
"125,5",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,ECONOMIA,PÚBLICA,ECONOMIA,MESTRADO,ACADÊMICO,PR,A
"125,6",UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,POLÍTICAS PÚBLICAS E DESENVOLVIMENTO,PÚBLICA,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,MESTRADO,ACADÊMICO,PR,3
"126,1",FACULDADES PEQUENO PRÍNCIPE,BIOTECNOLOGIA APLICADA A SAÚDE DA CRIANÇA E DO ADOLESCENTE,PRIVADA,MEDICINA II,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"126,2",FACULDADES PEQUENO PRÍNCIPE,ENSINO NAS CIÊNCIAS DA SAÚDE,PRIVADA,ENSINO,MESTRADO,ACADÊMICO,PR,3
"127,1",UNIVERSIDADE CESUMAR,TECNOLOGIAS LIMPAS,PRIVADA,CIÊNCIAS AMBIENTAIS,MESTRADO,ACADÊMICO,PR,3
"127,2",UNIVERSIDADE CESUMAR,CIÊNCIAS JURÍDICAS,PRIVADA,DIREITO,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"128,1",CENTRO UNIVERSITÁRIO CURITIBA,DIREITO,PRIVADA,DIREITO,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"129,1",UNIVERSIDADE PARANAENSE,CIÊNCIA ANIMAL COM ÊNFASE EM PRODUTOS BIOATIVOS,PRIVADA,MEDICINA VETERINÁRIA,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"130,1",UNIVERSIDADE TUIUTI DO PARANÁ,COMUNICAÇÃO E LINGUAGENS,PRIVADA,COMUNICAÇÃO E INFORMAÇÃO,MESTRADO/DOUTORADO,ACADÊMICO,PR,5
"130,2",UNIVERSIDADE TUIUTI DO PARANÁ,DISTÚRBIOS DA COMUNICAÇÃO,PRIVADA,EDUCAÇÃO FÍSICA,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"130,3",UNIVERSIDADE TUIUTI DO PARANÁ,EDUCAÇÃO,PRIVADA,EDUCAÇÃO,MESTRADO/DOUTORADO,ACADÊMICO,PR,5
"131,1",UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,AGRONOMIA,PÚBLICA,CIÊNCIAS AGRÁRIAS I,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"132,1",FACULDADE EVANGELICA MACKENZIE DO PARANA,PRINCÍPIOS DA CIRURGIA,PRIVADA,MEDICINA III,MESTRADO/DOUTORADO,ACADÊMICO,PR,4
"133,1",UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,ADMINISTRAÇÃO,PÚBLICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",MESTRADO PROFISSIONAL,PROFISSIONAL,PR,3
"134,1",UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,ENGENHARIA ELÉTRICA,PÚBLICA,ENGENHARIAS IV,MESTRADO,ACADÊMICO,PR,3
"134,2",UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,EDUCAÇÃO FÍSICA,PÚBLICA,EDUCAÇÃO FÍSICA,MESTRADO,ACADÊMICO,PR,3
