"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country","Level"
"text4922",5,0.00561797752808989,26.6579638265543,0.234080718383995,"text492","text492","Program","Ecuador","Specialization"
"text5601",5,0.00561797752808989,24.675938299193,0.245404987861211,"text560","text560","Program","Ecuador","Specialization"
"text6731",5,0.00555555555555556,30.765289171453,0.200795714651603,"text673","text673","Program","Ecuador","Specialization"
"text6741",5,0.00555555555555556,30.765289171453,0.200795714651603,"text674","text674","Program","Ecuador","Specialization"
"text2715",4,0.00543478260869565,12.034531975175,0.210643845980612,"text27","text27","Program","Ecuador","Specialization"
"text3315",4,0.00543478260869565,12.034531975175,0.210643845980612,"text33","text33","Program","Ecuador","Specialization"
"text8714",4,0.00543478260869565,97.3219286241671,0.166083488729755,"text87","text87","Program","Ecuador","Specialization"
"text1364",4,0.00555555555555556,19.4821252724819,0.210762476735822,"text136","text136","Program","Ecuador","Specialization"
"text1904",4,0.00561797752808989,29.0234830788037,0.199388442681625,"text190","text190","Program","Ecuador","Specialization"
"text4842",4,0.00537634408602151,19.3037483517694,0.173605129630729,"text484","text484","Program","Ecuador","Specialization"
"text6641",4,0.00555555555555556,25.2724047823082,0.191907438437508,"text664","text664","Program","Ecuador","Specialization"
"text6681",4,0.00555555555555556,25.2724047823082,0.191907438437508,"text668","text668","Program","Ecuador","Specialization"
"text6831",4,0.00537634408602151,23.8020797479161,0.143570873601273,"text683","text683","Program","Ecuador","Specialization"
"text4615",3,0.00531914893617021,11.802760257574,0.146493387326437,"text46","text46","Program","Ecuador","Specialization"
"text5015",3,0.00531914893617021,13.5266477525088,0.14271633112283,"text50","text50","Program","Ecuador","Specialization"
"text7414",3,0.00537634408602151,7.7168088147188,0.179609995726639,"text74","text74","Program","Ecuador","Specialization"
"text8214",3,0.00537634408602151,7.7168088147188,0.179609995726639,"text82","text82","Program","Ecuador","Specialization"
"text8314",3,0.00543478260869565,16.7972321561055,0.164627300801026,"text83","text83","Program","Ecuador","Specialization"
"text1894",3,0.00537634408602151,8.01010165998827,0.176001334855222,"text189","text189","Program","Ecuador","Specialization"
"text2093",3,0.00537634408602151,8.01010165998827,0.176001334855222,"text209","text209","Program","Ecuador","Specialization"
"text2822",3,0.00537634408602151,8.01010165998827,0.176001334855222,"text282","text282","Program","Ecuador","Specialization"
"text2962",3,0.00520833333333333,89.1885181451496,0.127746958862937,"text296","text296","Program","Ecuador","Specialization"
"text5115",3,0.00531914893617021,13.5266477525088,0.14271633112283,"text511","text511","Program","Ecuador","Specialization"
"text6114",3,0.00531914893617021,14.067265515705,0.138962618505339,"text611","text611","Program","Ecuador","Specialization"
"text6791",3,0.00520833333333333,10.8842022004483,0.123911057401497,"text679","text679","Program","Ecuador","Specialization"
"text1217",2,0.00531914893617021,4.396298842021,0.14496748460125,"text12","text12","Program","Ecuador","Specialization"
"text1717",2,0.00515463917525773,2.33504279422805,0.123056514923054,"text17","text17","Program","Ecuador","Specialization"
"text3815",2,0.00515463917525773,2.33504279422805,0.123056514923054,"text38","text38","Program","Ecuador","Specialization"
"text3915",2,0.00531914893617021,4.396298842021,0.14496748460125,"text39","text39","Program","Ecuador","Specialization"
"text4815",2,0.00381679389312977,3.33708855461046,0.072604636131945,"text48","text48","Program","Ecuador","Specialization"
"text8514",2,0.00531914893617021,4.396298842021,0.14496748460125,"text85","text85","Program","Ecuador","Specialization"
"text8614",2,0.00531914893617021,4.396298842021,0.14496748460125,"text86","text86","Program","Ecuador","Specialization"
"text9014",2,0.00531914893617021,4.396298842021,0.14496748460125,"text90","text90","Program","Ecuador","Specialization"
"text985",2,0.00515463917525773,3.84318296713034,0.111732245445838,"text98","text98","Program","Ecuador","Specialization"
"text1764",2,0.00531914893617021,4.396298842021,0.14496748460125,"text176","text176","Program","Ecuador","Specialization"
"text3002",2,0.00531914893617021,4.396298842021,0.14496748460125,"text300","text300","Program","Ecuador","Specialization"
"text3272",2,0.00526315789473684,6.3619947884511,0.12678380654968,"text327","text327","Program","Ecuador","Specialization"
"text3292",2,0.00515463917525773,2.33504279422805,0.123056514923054,"text329","text329","Program","Ecuador","Specialization"
"text4782",2,0.00515463917525773,2.33504279422805,0.123056514923054,"text478","text478","Program","Ecuador","Specialization"
"text4952",2,0.00526315789473684,6.3619947884511,0.12678380654968,"text495","text495","Program","Ecuador","Specialization"
"text5062",2,0.00526315789473684,6.3619947884511,0.12678380654968,"text506","text506","Program","Ecuador","Specialization"
"text6141",2,0.00515463917525773,5.84028760627058,0.10420147662474,"text614","text614","Program","Ecuador","Specialization"
"text6151",2,0.00515463917525773,5.84028760627058,0.10420147662474,"text615","text615","Program","Ecuador","Specialization"
"text6814",2,0.00515463917525773,2.18851814514955,0.12666517579447,"text681","text681","Program","Ecuador","Specialization"
"text6821",2,0.00531914893617021,4.396298842021,0.14496748460125,"text682","text682","Program","Ecuador","Specialization"
"text1108",1,0.00510204081632653,0,0.092022664669081,"text1","text1","Program","Ecuador","Specialization"
"text1018",1,0.00510204081632653,0,0.092022664669081,"text10","text10","Program","Ecuador","Specialization"
"text1617",1,0.00510204081632653,0,0.092022664669081,"text16","text16","Program","Ecuador","Specialization"
"text2515",1,0.00510204081632653,0,0.092022664669081,"text25","text25","Program","Ecuador","Specialization"
"text2915",1,0.00510204081632653,0,0.092022664669081,"text29","text29","Program","Ecuador","Specialization"
"text6614",1,0.00510204081632653,0,0.092022664669081,"text66","text66","Program","Ecuador","Specialization"
"text6714",1,0.00510204081632653,0,0.092022664669081,"text67","text67","Program","Ecuador","Specialization"
"text8914",1,0.00510204081632653,0,0.092022664669081,"text89","text89","Program","Ecuador","Specialization"
"text965",1,0.00510204081632653,0,0.092022664669081,"text96","text96","Program","Ecuador","Specialization"
"text2163",1,0.00510204081632653,0,0.092022664669081,"text216","text216","Program","Ecuador","Specialization"
"text2303",1,0.00510204081632653,0,0.092022664669081,"text230","text230","Program","Ecuador","Specialization"
"text3015",1,0.0036231884057971,0,0.0529448199321687,"text301","text301","Program","Ecuador","Specialization"
"text3022",1,0.00510204081632653,0,0.092022664669081,"text302","text302","Program","Ecuador","Specialization"
"text3072",1,0.00510204081632653,0,0.092022664669081,"text307","text307","Program","Ecuador","Specialization"
"text3182",1,0.00510204081632653,0,0.092022664669081,"text318","text318","Program","Ecuador","Specialization"
"text3262",1,0.00510204081632653,0,0.092022664669081,"text326","text326","Program","Ecuador","Specialization"
"text3282",1,0.003125,0,0.0196598161997762,"text328","text328","Program","Ecuador","Specialization"
"text3316",1,0.00510204081632653,0,0.092022664669081,"text331","text331","Program","Ecuador","Specialization"
"text4315",1,0.00510204081632653,0,0.092022664669081,"text431","text431","Program","Ecuador","Specialization"
"text4616",1,0.0033112582781457,0,0.0347611418805994,"text461","text461","Program","Ecuador","Specialization"
"text5032",1,0.00510204081632653,0,0.092022664669081,"text503","text503","Program","Ecuador","Specialization"
"text5072",1,0.00510204081632653,0,0.092022664669081,"text507","text507","Program","Ecuador","Specialization"
"text5481",1,0.0033112582781457,0,0.0347611418805994,"text548","text548","Program","Ecuador","Specialization"
"text6761",1,0.00510204081632653,0,0.092022664669081,"text676","text676","Program","Ecuador","Specialization"
"text6781",1,0.0036231884057971,0,0.0529448199321687,"text678","text678","Program","Ecuador","Specialization"
"text6801",1,0.00510204081632653,0,0.092022664669081,"text680","text680","Program","Ecuador","Specialization"
"mathematics15",1,0.003690036900369,0,0.0152834451904494,"mathematics","mathematics","Skill","Ecuador","Specialization"
"writing15",1,0.003584229390681,0,0.011755615557939,"writing","writing","Skill","Ecuador","Specialization"
"text5105",0,NA,0,1.04199242430476e-17,"text5","text5","Program","Ecuador","Specialization"
"text5116",0,NA,0,1.04199242430476e-17,"text51","text51","Program","Ecuador","Specialization"
"text6014",0,NA,0,1.04199242430476e-17,"text60","text60","Program","Ecuador","Specialization"
"text6115",0,NA,0,1.04199242430476e-17,"text61","text61","Program","Ecuador","Specialization"
"text7514",0,NA,0,1.04199242430476e-17,"text75","text75","Program","Ecuador","Specialization"
"text1045",0,NA,0,1.04199242430476e-17,"text104","text104","Program","Ecuador","Specialization"
"text1065",0,NA,0,1.04199242430476e-17,"text106","text106","Program","Ecuador","Specialization"
"text1844",0,NA,0,1.04199242430476e-17,"text184","text184","Program","Ecuador","Specialization"
"text2018",0,NA,0,1.04199242430476e-17,"text201","text201","Program","Ecuador","Specialization"
"text2024",0,NA,0,1.04199242430476e-17,"text202","text202","Program","Ecuador","Specialization"
"text2034",0,NA,0,1.04199242430476e-17,"text203","text203","Program","Ecuador","Specialization"
"text2044",0,NA,0,1.04199242430476e-17,"text204","text204","Program","Ecuador","Specialization"
"text2064",0,NA,0,1.04199242430476e-17,"text206","text206","Program","Ecuador","Specialization"
"text2084",0,NA,0,1.04199242430476e-17,"text208","text208","Program","Ecuador","Specialization"
"text2153",0,NA,0,1.04199242430476e-17,"text215","text215","Program","Ecuador","Specialization"
"text2243",0,NA,0,1.04199242430476e-17,"text224","text224","Program","Ecuador","Specialization"
"text2592",0,NA,0,1.04199242430476e-17,"text259","text259","Program","Ecuador","Specialization"
"text2682",0,NA,0,1.04199242430476e-17,"text268","text268","Program","Ecuador","Specialization"
"text2692",0,NA,0,1.04199242430476e-17,"text269","text269","Program","Ecuador","Specialization"
"text2702",0,NA,0,1.04199242430476e-17,"text270","text270","Program","Ecuador","Specialization"
"text2716",0,NA,0,1.04199242430476e-17,"text271","text271","Program","Ecuador","Specialization"
"text2722",0,NA,0,1.04199242430476e-17,"text272","text272","Program","Ecuador","Specialization"
"text2732",0,NA,0,1.04199242430476e-17,"text273","text273","Program","Ecuador","Specialization"
"text2742",0,NA,0,1.04199242430476e-17,"text274","text274","Program","Ecuador","Specialization"
"text2752",0,NA,0,1.04199242430476e-17,"text275","text275","Program","Ecuador","Specialization"
"text2772",0,NA,0,1.04199242430476e-17,"text277","text277","Program","Ecuador","Specialization"
"text2782",0,NA,0,1.04199242430476e-17,"text278","text278","Program","Ecuador","Specialization"
"text2815",0,NA,0,1.04199242430476e-17,"text281","text281","Program","Ecuador","Specialization"
"text2832",0,NA,0,1.04199242430476e-17,"text283","text283","Program","Ecuador","Specialization"
"text2842",0,NA,0,1.04199242430476e-17,"text284","text284","Program","Ecuador","Specialization"
"text2972",0,NA,0,1.04199242430476e-17,"text297","text297","Program","Ecuador","Specialization"
"text2982",0,NA,0,1.04199242430476e-17,"text298","text298","Program","Ecuador","Specialization"
"text2992",0,NA,0,1.04199242430476e-17,"text299","text299","Program","Ecuador","Specialization"
"text3302",0,NA,0,1.04199242430476e-17,"text330","text330","Program","Ecuador","Specialization"
"text4302",0,NA,0,1.04199242430476e-17,"text430","text430","Program","Ecuador","Specialization"
"text4482",0,NA,0,1.04199242430476e-17,"text448","text448","Program","Ecuador","Specialization"
"text4492",0,NA,0,1.04199242430476e-17,"text449","text449","Program","Ecuador","Specialization"
"text4502",0,NA,0,1.04199242430476e-17,"text450","text450","Program","Ecuador","Specialization"
"text4515",0,NA,0,1.04199242430476e-17,"text451","text451","Program","Ecuador","Specialization"
"text4522",0,NA,0,1.04199242430476e-17,"text452","text452","Program","Ecuador","Specialization"
"text4532",0,NA,0,1.04199242430476e-17,"text453","text453","Program","Ecuador","Specialization"
"text4542",0,NA,0,1.04199242430476e-17,"text454","text454","Program","Ecuador","Specialization"
"text4552",0,NA,0,1.04199242430476e-17,"text455","text455","Program","Ecuador","Specialization"
"text4562",0,NA,0,1.04199242430476e-17,"text456","text456","Program","Ecuador","Specialization"
"text4572",0,NA,0,1.04199242430476e-17,"text457","text457","Program","Ecuador","Specialization"
"text4582",0,NA,0,1.04199242430476e-17,"text458","text458","Program","Ecuador","Specialization"
"text4592",0,NA,0,1.04199242430476e-17,"text459","text459","Program","Ecuador","Specialization"
"text4602",0,NA,0,1.04199242430476e-17,"text460","text460","Program","Ecuador","Specialization"
"text4622",0,NA,0,1.04199242430476e-17,"text462","text462","Program","Ecuador","Specialization"
"text4632",0,NA,0,1.04199242430476e-17,"text463","text463","Program","Ecuador","Specialization"
