"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country"
"science",493,0.00183823529411765,96081.2548128608,1,"science","science","Skill","Argentina"
"speaking",239,0.000950570342205323,13796.792363078,0.592050157528657,"speaking","speaking","Skill","Argentina"
"active_listening",170,0.000840336134453782,7024.44610036766,0.429992341956686,"active_listening","active_listening","Skill","Argentina"
"learning_strategy",141,0.000801282051282051,4325.46678372959,0.358798325469342,"learning_strategy","learning_strategy","Skill","Argentina"
"reading_comprehension",132,0.000789889415481833,3554.94030826597,0.337360818865615,"reading_comprehension","reading_comprehension","Skill","Argentina"
"active_learning",117,0.000771604938271605,2923.33443014413,0.296831009107301,"active_learning","active_learning","Skill","Argentina"
"monitoring",100,0.00075187969924812,3063.9440078894,0.2386664336654,"monitoring","monitoring","Skill","Argentina"
"critical_thinking",87,0.000737463126843658,1575.84987081201,0.210345914432492,"critical_thinking","critical_thinking","Skill","Argentina"
"writing",62,0.000711237553342817,647.405699820084,0.167521676906149,"writing","writing","Skill","Argentina"
"mathematics",33,0.000683060109289617,227.565623032292,0.0721706629009103,"mathematics","mathematics","Skill","Argentina"
"text206",9,0.000982318271119843,90.9084609604513,0.113201280149888,"text206","text206","Program","Argentina"
"text487",9,0.000982318271119843,74.758842763411,0.12211884030469,"text487","text487","Program","Argentina"
"text222",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text222","text222","Program","Argentina"
"text326",8,0.0009765625,63.969143673239,0.109446769637676,"text326","text326","Program","Argentina"
"text399",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text399","text399","Program","Argentina"
"text470",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text470","text470","Program","Argentina"
"text473",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text473","text473","Program","Argentina"
"text483",8,0.000980392156862745,62.2773056355052,0.116485582065486,"text483","text483","Program","Argentina"
"text492",8,0.000980392156862745,62.5558480506023,0.112137291895037,"text492","text492","Program","Argentina"
"text37",7,0.000974658869395711,39.4804021947998,0.108459936198652,"text37","text37","Program","Argentina"
"text167",7,0.000978473581213307,51.3660851579124,0.109412271450147,"text167","text167","Program","Argentina"
"text185",7,0.000978473581213307,51.3660851579124,0.109412271450147,"text185","text185","Program","Argentina"
"text226",7,0.000978473581213307,51.6803662279267,0.10442025618951,"text226","text226","Program","Argentina"
"text245",7,0.000974658869395711,40.3486455257762,0.107019883822516,"text245","text245","Program","Argentina"
"text246",7,0.000974658869395711,46.5613601659789,0.102026212103001,"text246","text246","Program","Argentina"
"text485",7,0.000974658869395711,42.2123297821604,0.102748748467894,"text485","text485","Program","Argentina"
"text489",7,0.000974658869395711,40.2782286263351,0.104111646028203,"text489","text489","Program","Argentina"
"text490",7,0.000978473581213307,51.2150640814302,0.106504033655834,"text490","text490","Program","Argentina"
"text36",6,0.0009765625,41.7964994852691,0.097346945574171,"text36","text36","Program","Argentina"
"text80",6,0.000972762645914397,31.1491033281146,0.0970383354128642,"text80","text80","Program","Argentina"
"text83",6,0.0009765625,42.8970383818257,0.0951595876858719,"text83","text83","Program","Argentina"
"text122",6,0.0009765625,42.8970383818257,0.0951595876858719,"text122","text122","Program","Argentina"
"text208",6,0.0009765625,43.1073355472798,0.0930758102195482,"text208","text208","Program","Argentina"
"text210",6,0.000972762645914397,49.7777034297751,0.0805858165808503,"text210","text210","Program","Argentina"
"text217",6,0.000972762645914397,37.1676758279743,0.0949529014876614,"text217","text217","Program","Argentina"
"text229",6,0.000972762645914397,32.0267562363822,0.0971154902286899,"text229","text229","Program","Argentina"
"text238",6,0.000972762645914397,38.7244386934826,0.0863334759625901,"text238","text238","Program","Argentina"
"text239",6,0.000972762645914397,37.4615868853561,0.0906046113172129,"text239","text239","Program","Argentina"
"text268",6,0.000974658869395711,42.0639410014661,0.0929986554037224,"text268","text268","Program","Argentina"
"text287",6,0.000972762645914397,30.1333125860061,0.101386625583313,"text287","text287","Program","Argentina"
"text289",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text289","text289","Program","Argentina"
"text290",6,0.0009765625,41.7964994852691,0.097346945574171,"text290","text290","Program","Argentina"
"text306",6,0.000968992248062015,40.1252244238916,0.0850830060813644,"text306","text306","Program","Argentina"
"text313",6,0.000972762645914397,32.9693981628511,0.0956754378525546,"text313","text313","Program","Argentina"
"text315",6,0.000972762645914397,44.1706242310251,0.0881207752580623,"text315","text315","Program","Argentina"
"text319",6,0.000974658869395711,41.3980647269242,0.0944387077798578,"text319","text319","Program","Argentina"
"text328",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text328","text328","Program","Argentina"
"text336",6,0.000972762645914397,31.8914774440524,0.0949545579465405,"text336","text336","Program","Argentina"
"text384",6,0.000968992248062015,39.925043220116,0.0752851911589067,"text384","text384","Program","Argentina"
"text406",6,0.000968992248062015,38.7481844887941,0.083904616683978,"text406","text406","Program","Argentina"
"text416",6,0.000972762645914397,49.7777034297751,0.0805858165808503,"text416","text416","Program","Argentina"
"text417",6,0.000972762645914397,38.3763332695013,0.0851550865652037,"text417","text417","Program","Argentina"
"text472",6,0.000972762645914397,37.4615868853561,0.0906046113172129,"text472","text472","Program","Argentina"
"text475",6,0.0009765625,43.1073355472798,0.0930758102195482,"text475","text475","Program","Argentina"
"text488",6,0.000972762645914397,31.1491033281146,0.0970383354128642,"text488","text488","Program","Argentina"
"text493",6,0.000967117988394584,27.3780421925844,0.0896522760657178,"text493","text493","Program","Argentina"
"text9",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text9","text9","Program","Argentina"
"text34",5,0.000967117988394584,20.5264856597693,0.0785694930745049,"text34","text34","Program","Argentina"
"text35",5,0.000967117988394584,20.5491320345484,0.0814777308688181,"text35","text35","Program","Argentina"
"text40",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text40","text40","Program","Argentina"
"text44",5,0.000967117988394584,22.2482771648815,0.0750456632320458,"text44","text44","Program","Argentina"
"text50",5,0.000970873786407767,22.6851497668284,0.0893212997073368,"text50","text50","Program","Argentina"
"text53",5,0.000970873786407767,29.4203711448729,0.0795218283260001,"text53","text53","Program","Argentina"
"text72",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text72","text72","Program","Argentina"
"text86",5,0.000970873786407767,25.2127418378384,0.0836101119765786,"text86","text86","Program","Argentina"
"text105",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text105","text105","Program","Argentina"
"text111",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text111","text111","Program","Argentina"
"text150",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text150","text150","Program","Argentina"
"text184",5,0.000970873786407767,22.0745235470782,0.0914050771736606,"text184","text184","Program","Argentina"
"text205",5,0.000970873786407767,22.6851497668284,0.0893212997073368,"text205","text205","Program","Argentina"
"text216",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text216","text216","Program","Argentina"
"text218",5,0.000970873786407767,29.0877714828642,0.0828875756116855,"text218","text218","Program","Argentina"
"text221",5,0.000967117988394584,20.6575589210115,0.0826561202662045,"text221","text221","Program","Argentina"
"text233",5,0.000970873786407767,30.7569648585297,0.0781589307656904,"text233","text233","Program","Argentina"
"text235",5,0.000970873786407767,30.5463532313351,0.079260165347251,"text235","text235","Program","Argentina"
"text236",5,0.000970873786407767,24.725372702943,0.0856938894429024,"text236","text236","Program","Argentina"
"text237",5,0.000970873786407767,30.2201614059911,0.0836084555176996,"text237","text237","Program","Argentina"
"text240",5,0.000961538461538462,17.7155141805199,0.0740916715216716,"text240","text240","Program","Argentina"
"text242",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text242","text242","Program","Argentina"
"text244",5,0.000965250965250965,25.2301420294119,0.0721357689788536,"text244","text244","Program","Argentina"
"text249",5,0.000961538461538462,17.7155141805199,0.0740916715216716,"text249","text249","Program","Argentina"
"text267",5,0.000968992248062015,29.1526173307726,0.078539285441237,"text267","text267","Program","Argentina"
"text285",5,0.000970873786407767,23.6773011928723,0.0900421796133509,"text285","text285","Program","Argentina"
"text286",5,0.000965250965250965,18.8216349642426,0.0840190178265141,"text286","text286","Program","Argentina"
"text291",5,0.000967117988394584,20.7894550172178,0.080495187984055,"text291","text291","Program","Argentina"
"text292",5,0.000968992248062015,22.6145957684589,0.0864130619130237,"text292","text292","Program","Argentina"
"text296",5,0.000967117988394584,18.9532579601322,0.0869272556208273,"text296","text296","Program","Argentina"
"text322",5,0.000970873786407767,30.7569648585297,0.0781589307656904,"text322","text322","Program","Argentina"
"text323",5,0.000970873786407767,30.2201614059911,0.0836084555176996,"text323","text323","Program","Argentina"
"text330",5,0.000963391136801541,34.9327580450261,0.0610572765419022,"text330","text330","Program","Argentina"
"text337",5,0.000970873786407767,34.8870068316069,0.0804037395525349,"text337","text337","Program","Argentina"
"text342",5,0.000970873786407767,23.6773011928723,0.0900421796133509,"text342","text342","Program","Argentina"
"text374",5,0.000970873786407767,29.4203711448729,0.0795218283260001,"text374","text374","Program","Argentina"
"text397",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text397","text397","Program","Argentina"
"text413",5,0.000968992248062015,30.5668181903217,0.0731669155050535,"text413","text413","Program","Argentina"
"text420",5,0.000970873786407767,24.2517514389805,0.085050164352714,"text420","text420","Program","Argentina"
"text430",5,0.000963391136801541,20.1631417565312,0.0775869501897418,"text430","text430","Program","Argentina"
"text452",5,0.000970873786407767,34.8870068316069,0.0804037395525349,"text452","text452","Program","Argentina"
"text463",5,0.000970873786407767,24.725372702943,0.0856938894429024,"text463","text463","Program","Argentina"
"text467",5,0.000968992248062015,28.3808540451367,0.0799793378173723,"text467","text467","Program","Argentina"
"text474",5,0.000968992248062015,24.8527934290043,0.0807018741822655,"text474","text474","Program","Argentina"
"text477",5,0.000970873786407767,34.7059122620991,0.0824875170188587,"text477","text477","Program","Argentina"
"text478",5,0.000970873786407767,23.8120430488351,0.0871339418190378,"text478","text478","Program","Argentina"
"text480",5,0.000970873786407767,30.5463532313351,0.0792601653472511,"text480","text480","Program","Argentina"
"text482",5,0.000970873786407767,30.5463532313351,0.079260165347251,"text482","text482","Program","Argentina"
"text484",5,0.000965250965250965,19.7664530339521,0.0825789654503787,"text484","text484","Program","Argentina"
"text491",5,0.000968992248062015,30.088627160675,0.0742681500866141,"text491","text491","Program","Argentina"
"text513",5,0.000970873786407767,23.6773011928723,0.0900421796133509,"text513","text513","Program","Argentina"
"text4",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text4","text4","Program","Argentina"
"text10",4,0.000963391136801541,13.6518991936698,0.0726745718565523,"text10","text10","Program","Argentina"
"text14",4,0.000963391136801541,22.6746777390633,0.0618577423983499,"text14","text14","Program","Argentina"
"text20",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text20","text20","Program","Argentina"
"text38",4,0.000967117988394584,16.816978304506,0.0750686159430618,"text38","text38","Program","Argentina"
"text41",4,0.000963391136801541,22.6746777390633,0.0618577423983499,"text41","text41","Program","Argentina"
"text45",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text45","text45","Program","Argentina"
"text48",4,0.000965250965250965,14.5332947564018,0.0694124049928421,"text48","text48","Program","Argentina"
"text54",4,0.000968992248062015,16.574028891698,0.0800606312036987,"text54","text54","Program","Argentina"
"text55",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text55","text55","Program","Argentina"
"text58",4,0.000963391136801541,22.6746777390633,0.0618577423983499,"text58","text58","Program","Argentina"
"text59",4,0.000965250965250965,15.1949459718521,0.0701332848988562,"text59","text59","Program","Argentina"
"text60",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text60","text60","Program","Argentina"
"text66",4,0.000965250965250965,15.1301817695426,0.0672250471045431,"text66","text66","Program","Argentina"
"text68",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text68","text68","Program","Argentina"
"text69",4,0.000968992248062015,16.574028891698,0.0800606312036987,"text69","text69","Program","Argentina"
"text70",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text70","text70","Program","Argentina"
"text71",4,0.000967117988394584,23.3202164836288,0.0660936048897145,"text71","text71","Program","Argentina"
"text73",4,0.000963391136801541,19.3423351103359,0.0607913230088918,"text73","text73","Program","Argentina"
"text75",4,0.000961538461538462,13.5789063328341,0.0705136395744028,"text75","text75","Program","Argentina"
"text91",4,0.000967117988394584,26.5414654690365,0.0704221911428828,"text91","text91","Program","Argentina"
"text94",4,0.000967117988394584,22.0917335523345,0.0686348918474105,"text94","text94","Program","Argentina"
"text99",4,0.000965250965250965,14.5332947564018,0.0694124049928421,"text99","text99","Program","Argentina"
"text108",4,0.000957854406130268,19.7021840337408,0.0594636983118404,"text108","text108","Program","Argentina"
"text116",4,0.000967117988394584,22.0917335523345,0.0686348918474105,"text116","text116","Program","Argentina"
"text125",4,0.000967117988394584,22.9378954334629,0.0671948394712751,"text125","text125","Program","Argentina"
"text132",4,0.000965250965250965,23.5556039179513,0.062578622304364,"text132","text132","Program","Argentina"
"text145",4,0.000967117988394584,15.4063007809731,0.0793397512976846,"text145","text145","Program","Argentina"
"text157",4,0.000967117988394584,21.12596432844,0.0729060272020333,"text157","text157","Program","Argentina"
"text163",4,0.000965250965250965,13.930467408029,0.0714961824591659,"text163","text163","Program","Argentina"
"text164",4,0.000963391136801541,12.1035223814097,0.0769457072111751,"text164","text164","Program","Argentina"
"text175",4,0.000968992248062015,23.2018053409896,0.0681773823560382,"text175","text175","Program","Argentina"
"text177",4,0.000963391136801541,19.2415730394702,0.0629786808971908,"text177","text177","Program","Argentina"
"text187",4,0.000963391136801541,18.5875290484608,0.0650624583635146,"text187","text187","Program","Argentina"
"text215",4,0.000965250965250965,15.1301817695426,0.0672250471045431,"text215","text215","Program","Argentina"
"text219",4,0.000963391136801541,15.5620912883106,0.0651412696382193,"text219","text219","Program","Argentina"
"text220",4,0.000963391136801541,15.5620912883106,0.0651412696382193,"text220","text220","Program","Argentina"
"text225",4,0.000963391136801541,18.5875290484608,0.0650624583635146,"text225","text225","Program","Argentina"
"text241",4,0.000753012048192771,6.41024383141444,0.0533002149700847,"text241","text241","Program","Argentina"
"text243",4,0.000957854406130268,11.1944621278332,0.0641101231120194,"text243","text243","Program","Argentina"
"text247",4,0.000965250965250965,13.930467408029,0.0714961824591659,"text247","text247","Program","Argentina"
"text248",4,0.000963391136801541,18.5875290484608,0.0650624583635145,"text248","text248","Program","Argentina"
"text262",4,0.000968992248062015,16.574028891698,0.0800606312036987,"text262","text262","Program","Argentina"
"text263",4,0.000968992248062015,16.574028891698,0.0800606312036987,"text263","text263","Program","Argentina"
"text266",4,0.000963391136801541,12.1035223814097,0.0769457072111751,"text266","text266","Program","Argentina"
"text282",4,0.000963391136801541,14.6711158588718,0.0712345194804169,"text282","text282","Program","Argentina"
"text284",4,0.000963391136801541,14.6711158588718,0.0712345194804169,"text284","text284","Program","Argentina"
"text288",4,0.000967117988394584,15.4063007809731,0.0793397512976847,"text288","text288","Program","Argentina"
"text308",4,0.000967117988394584,26.5414654690365,0.0704221911428827,"text308","text308","Program","Argentina"
"text316",4,0.000965250965250965,15.439112861095,0.0691507420140931,"text316","text316","Program","Argentina"
"text317",4,0.000963391136801541,14.6711158588718,0.0712345194804169,"text317","text317","Program","Argentina"
"text324",4,0.000965250965250965,13.8256400170896,0.0755828096508654,"text324","text324","Program","Argentina"
"text325",4,0.000967117988394584,26.5414654690365,0.0704221911428827,"text325","text325","Program","Argentina"
"text327",4,0.000963391136801541,12.1035223814097,0.0769457072111751,"text327","text327","Program","Argentina"
"text329",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text329","text329","Program","Argentina"
"text334",4,0.000967117988394584,26.5414654690365,0.0704221911428828,"text334","text334","Program","Argentina"
"text343",4,0.000965250965250965,13.8256400170896,0.0755828096508654,"text343","text343","Program","Argentina"
"text346",4,0.000965250965250965,14.372235451143,0.0705907943902285,"text346","text346","Program","Argentina"
"text349",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text349","text349","Program","Argentina"
"text350",4,0.000965250965250965,13.8256400170896,0.0755828096508654,"text350","text350","Program","Argentina"
"text351",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text351","text351","Program","Argentina"
"text352",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text352","text352","Program","Argentina"
"text353",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text353","text353","Program","Argentina"
"text363",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text363","text363","Program","Argentina"
"text365",4,0.000968992248062015,16.9296501304058,0.077976853737375,"text365","text365","Program","Argentina"
"text377",4,0.000965250965250965,23.9343876616402,0.0659443695900494,"text377","text377","Program","Argentina"
"text404",4,0.000961538461538462,19.8254612717406,0.058707545542568,"text404","text404","Program","Argentina"
"text409",4,0.000965250965250965,15.1949459718521,0.0701332848988562,"text409","text409","Program","Argentina"
"text410",4,0.000965250965250965,13.930467408029,0.0714961824591659,"text410","text410","Program","Argentina"
"text421",4,0.000968992248062015,23.2018053409896,0.0681773823560382,"text421","text421","Program","Argentina"
"text427",4,0.000957854406130268,19.7021840337408,0.0594636983118403,"text427","text427","Program","Argentina"
"text439",4,0.000967117988394584,17.748656431003,0.0736285635669264,"text439","text439","Program","Argentina"
"text441",4,0.000967117988394584,17.748656431003,0.0736285635669264,"text441","text441","Program","Argentina"
"text450",4,0.000961538461538462,22.4225267127649,0.0673072671503591,"text450","text450","Program","Argentina"
"text457",4,0.000968992248062015,16.574028891698,0.0800606312036987,"text457","text457","Program","Argentina"
"text466",4,0.000967117988394584,17.748656431003,0.0736285635669264,"text466","text466","Program","Argentina"
"text486",4,0.000967117988394584,22.9378954334629,0.0671948394712751,"text486","text486","Program","Argentina"
"text494",4,0.000963391136801541,19.2415730394702,0.0629786808971908,"text494","text494","Program","Argentina"
"text505",4,0.000967117988394584,23.3202164836288,0.0660936048897145,"text505","text505","Program","Argentina"
"text514",4,0.000967117988394584,23.3202164836288,0.0660936048897145,"text514","text514","Program","Argentina"
"text2",3,0.000957854406130268,6.99943523138172,0.0549530350303566,"text2","text2","Program","Argentina"
"text5",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text5","text5","Program","Argentina"
"text8",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text8","text8","Program","Argentina"
"text15",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text15","text15","Program","Argentina"
"text17",3,0.000961538461538462,8.69457018295506,0.0594308565831899,"text17","text17","Program","Argentina"
"text18",3,0.000950570342205323,14.1941368811395,0.0431272370812416,"text18","text18","Program","Argentina"
"text22",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text22","text22","Program","Argentina"
"text23",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text23","text23","Program","Argentina"
"text27",3,0.000963391136801541,9.53179808308626,0.060151736489204,"text27","text27","Program","Argentina"
"text39",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text39","text39","Program","Argentina"
"text42",3,0.000961538461538462,8.69457018295506,0.05943085658319,"text42","text42","Program","Argentina"
"text43",3,0.000961538461538462,9.87962045041664,0.0580679590228803,"text43","text43","Program","Argentina"
"text47",3,0.000961538461538462,8.69457018295506,0.05943085658319,"text47","text47","Program","Argentina"
"text51",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text51","text51","Program","Argentina"
"text52",3,0.000957854406130268,9.5674425662446,0.0551597212285671,"text52","text52","Program","Argentina"
"text56",3,0.000961538461538462,8.69457018295506,0.05943085658319,"text56","text56","Program","Argentina"
"text57",3,0.000957854406130268,9.5674425662446,0.0551597212285672,"text57","text57","Program","Argentina"
"text61",3,0.000961538461538462,8.69457018295506,0.05943085658319,"text61","text61","Program","Argentina"
"text63",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text63","text63","Program","Argentina"
"text74",3,0.000956022944550669,14.1423014641705,0.0472859447567804,"text74","text74","Program","Argentina"
"text76",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text76","text76","Program","Argentina"
"text77",3,0.000961538461538462,7.93142117612069,0.0656012612412133,"text77","text77","Program","Argentina"
"text78",3,0.000957854406130268,10.6474058946781,0.0537196688524317,"text78","text78","Program","Argentina"
"text79",3,0.000961538461538462,7.93142117612069,0.0656012612412133,"text79","text79","Program","Argentina"
"text81",3,0.000956022944550669,8.29405355483624,0.0513256247659222,"text81","text81","Program","Argentina"
"text84",3,0.000957854406130268,9.5674425662446,0.0551597212285671,"text84","text84","Program","Argentina"
"text92",3,0.000959692898272553,6.92498094283783,0.0648803813351991,"text92","text92","Program","Argentina"
"text96",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text96","text96","Program","Argentina"
"text113",3,0.000956022944550669,7.12655168769779,0.0527656771420576,"text113","text113","Program","Argentina"
"text118",3,0.000965250965250965,15.8344784009216,0.0615615812320715,"text118","text118","Program","Argentina"
"text119",3,0.000959692898272553,12.7198902974545,0.0529971324875386,"text119","text119","Program","Argentina"
"text130",3,0.000959692898272553,12.7198902974545,0.0529971324875386,"text130","text130","Program","Argentina"
"text135",3,0.000956022944550669,7.12655168769779,0.0527656771420576,"text135","text135","Program","Argentina"
"text138",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text138","text138","Program","Argentina"
"text141",3,0.000959692898272553,12.7198902974545,0.0529971324875386,"text141","text141","Program","Argentina"
"text142",3,0.000957854406130268,7.49979856938994,0.0556739149363707,"text142","text142","Program","Argentina"
"text147",3,0.000963391136801541,9.53179808308626,0.0601517364892041,"text147","text147","Program","Argentina"
"text149",3,0.000956022944550669,13.1478543811056,0.0487259971329158,"text149","text149","Program","Argentina"
"text151",3,0.000957854406130268,7.49979856938994,0.0556739149363707,"text151","text151","Program","Argentina"
"text152",3,0.000961538461538462,13.6973566946686,0.0537180123935527,"text152","text152","Program","Argentina"
"text155",3,0.000956022944550669,13.1478543811056,0.0487259971329158,"text155","text155","Program","Argentina"
"text156",3,0.000956022944550669,13.1478543811056,0.0487259971329158,"text156","text156","Program","Argentina"
"text158",3,0.000965250965250965,15.8344784009216,0.0615615812320715,"text158","text158","Program","Argentina"
"text161",3,0.000959692898272553,12.7198902974545,0.0529971324875386,"text161","text161","Program","Argentina"
"text162",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text162","text162","Program","Argentina"
"text173",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text173","text173","Program","Argentina"
"text174",3,0.000959692898272553,14.0963957046357,0.0516342349272289,"text174","text174","Program","Argentina"
"text176",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text176","text176","Program","Argentina"
"text180",3,0.000730994152046784,3.23466262817978,0.0433186665604325,"text180","text180","Program","Argentina"
"text181",3,0.000961538461538462,7.93142117612069,0.0656012612412133,"text181","text181","Program","Argentina"
"text183",3,0.000959692898272553,12.7198902974545,0.0529971324875386,"text183","text183","Program","Argentina"
"text204",3,0.000963391136801541,9.53179808308626,0.060151736489204,"text204","text204","Program","Argentina"
"text212",3,0.000956022944550669,6.11598001568109,0.0570368124966804,"text212","text212","Program","Argentina"
"text213",3,0.000965250965250965,15.8344784009216,0.0615615812320715,"text213","text213","Program","Argentina"
"text223",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text223","text223","Program","Argentina"
"text224",3,0.000963391136801541,9.53179808308626,0.060151736489204,"text224","text224","Program","Argentina"
"text230",3,0.000957854406130268,10.6474058946781,0.0537196688524317,"text230","text230","Program","Argentina"
"text231",3,0.000959692898272553,9.18408091446495,0.059169193604441,"text231","text231","Program","Argentina"
"text250",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text250","text250","Program","Argentina"
"text253",3,0.000954198473282443,7.53234423939233,0.0506047448599081,"text253","text253","Program","Argentina"
"text255",3,0.000956022944550669,14.4788706539773,0.0481192523418785,"text255","text255","Program","Argentina"
"text269",3,0.000959692898272553,6.92498094283783,0.0648803813351991,"text269","text269","Program","Argentina"
"text293",3,0.000959692898272553,6.92498094283783,0.0648803813351991,"text293","text293","Program","Argentina"
"text294",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text294","text294","Program","Argentina"
"text295",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text295","text295","Program","Argentina"
"text309",3,0.000957854406130268,7.49979856938994,0.0556739149363707,"text309","text309","Program","Argentina"
"text310",3,0.000961538461538462,7.93142117612069,0.0656012612412133,"text310","text310","Program","Argentina"
"text314",3,0.000956022944550669,13.1478543811056,0.0487259971329158,"text314","text314","Program","Argentina"
"text320",3,0.000957854406130268,7.49979856938994,0.0556739149363707,"text320","text320","Program","Argentina"
"text321",3,0.000957854406130268,7.49979856938994,0.0556739149363707,"text321","text321","Program","Argentina"
"text331",3,0.000950570342205323,8.18631453919298,0.0463336095052853,"text331","text331","Program","Argentina"
"text333",3,0.000965250965250965,15.8344784009216,0.0615615812320715,"text333","text333","Program","Argentina"
"text338",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text338","text338","Program","Argentina"
"text339",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text339","text339","Program","Argentina"
"text340",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text340","text340","Program","Argentina"
"text341",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text341","text341","Program","Argentina"
"text344",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text344","text344","Program","Argentina"
"text345",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text345","text345","Program","Argentina"
"text347",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text347","text347","Program","Argentina"
"text348",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text348","text348","Program","Argentina"
"text354",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text354","text354","Program","Argentina"
"text355",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text355","text355","Program","Argentina"
"text356",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text356","text356","Program","Argentina"
"text357",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text357","text357","Program","Argentina"
"text358",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text358","text358","Program","Argentina"
"text359",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text359","text359","Program","Argentina"
"text361",3,0.000961538461538462,9.87962045041664,0.0580679590228803,"text361","text361","Program","Argentina"
"text366",3,0.000956022944550669,7.12655168769779,0.0527656771420576,"text366","text366","Program","Argentina"
"text379",3,0.000961538461538462,16.5449970191613,0.0561120564800623,"text379","text379","Program","Argentina"
"text381",3,0.000961538461538462,9.87962045041664,0.0580679590228803,"text381","text381","Program","Argentina"
"text389",3,0.000959692898272553,8.14651577687386,0.0606092459805763,"text389","text389","Program","Argentina"
"text395",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text395","text395","Program","Argentina"
"text400",3,0.000954198473282443,6.42089249535724,0.0520447972360435,"text400","text400","Program","Argentina"
"text402",3,0.000959692898272553,6.92498094283783,0.0648803813351992,"text402","text402","Program","Argentina"
"text405",3,0.000961538461538462,16.5449970191613,0.0561120564800623,"text405","text405","Program","Argentina"
"text407",3,0.000956022944550669,6.11598001568109,0.0570368124966804,"text407","text407","Program","Argentina"
"text408",3,0.000956022944550669,6.11598001568109,0.0570368124966804,"text408","text408","Program","Argentina"
"text418",3,0.000961538461538462,7.93142117612069,0.0656012612412133,"text418","text418","Program","Argentina"
"text419",3,0.000965250965250965,10.606317882304,0.0679953053277228,"text419","text419","Program","Argentina"
"text422",3,0.000961538461538462,13.6973566946686,0.0537180123935527,"text422","text422","Program","Argentina"
"text423",3,0.000963391136801541,8.56767028215634,0.0635174837748895,"text423","text423","Program","Argentina"
"text425",3,0.000954198473282443,6.42089249535724,0.0520447972360435,"text425","text425","Program","Argentina"
"text426",3,0.000956022944550669,6.11598001568109,0.0570368124966804,"text426","text426","Program","Argentina"
